"","Major","Discipline","Total","Unemployment_rate","Median_salary"
"1","GENERAL AGRICULTURE","Agriculture & Natural Resources",128148,0.026147106,50000
"2","AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",95326,0.028636059,54000
"3","AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",33955,0.030248324,63000
"4","ANIMAL SCIENCES","Agriculture & Natural Resources",103549,0.0426789,46000
"5","FOOD SCIENCE","Agriculture & Natural Resources",24280,0.049188446,62000
"6","PLANT SCIENCE AND AGRONOMY","Agriculture & Natural Resources",79409,0.031790887,50000
"7","SOIL SCIENCE","Agriculture & Natural Resources",6586,0.050867052,63000
"8","MISCELLANEOUS AGRICULTURE","Agriculture & Natural Resources",8549,0.039230422,52000
"9","ENVIRONMENTAL SCIENCE","Biology & Life Science",106106,0.051289827,52000
"10","FORESTRY","Agriculture & Natural Resources",69447,0.042563329,58000
"11","NATURAL RESOURCES MANAGEMENT","Agriculture & Natural Resources",83188,0.054341279,52000
"12","ARCHITECTURE","Engineering",294692,0.085991129,63000
"13","AREA ETHNIC AND CIVILIZATION STUDIES","Humanities & Liberal Arts",103740,0.067938959,46000
"14","COMMUNICATIONS","Communications & Journalism",987676,0.064360314,50000
"15","JOURNALISM","Communications & Journalism",418104,0.061916752,50000
"16","MASS MEDIA","Communications & Journalism",211213,0.08300476,48000
"17","ADVERTISING AND PUBLIC RELATIONS","Communications & Journalism",186829,0.067216257,50000
"18","COMMUNICATION TECHNOLOGIES","Computers & Mathematics",62141,0.085008669,50000
"19","COMPUTER AND INFORMATION SYSTEMS","Computers & Mathematics",253782,0.051891239,65000
"20","COMPUTER PROGRAMMING AND DATA PROCESSING","Computers & Mathematics",29317,0.090264217,60000
"21","COMPUTER SCIENCE","Computers & Mathematics",783292,0.049518657,78000
"22","INFORMATION SCIENCES","Computers & Mathematics",77805,0.052841063,68000
"23","COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY","Computers & Mathematics",39362,0.075045725,55000
